
="",="(1)",="(2)",="(3)",="(4)"
="",="percent",="percent",="percent",="percent"

="_Ismallc_1",="2.049***",="2.032***",="2.052***",="2.071***"
="",="(5.10)",="(5.06)",="(5.33)",="(5.37)"

="_Ismallc_2",="0.0332",="0.0500",="0.194",="0.109"
="",="(0.09)",="(0.13)",="(0.53)",="(0.29)"

="schid",="",="0.0219**",="-0.0141",="-0.0113"
="",="",="(3.10)",="(-1.95)",="(-1.56)"

="whasn",="",="",="2.245***",="2.713***"
="",="",="",="(5.81)",="(6.51)"

="girl",="",="",="2.194***",="2.125***"
="",="",="",="(7.10)",="(6.88)"

="frln",="",="",="-5.653***",="-5.574***"
="",="",="",="(-16.38)",="(-16.15)"

="twhite",="",="",="",="-1.654***"
="",="",="",="",="(-3.44)"

="tmaster",="",="",="",="-0.650"
="",="",="",="",="(-1.93)"

="totexp",="",="",="",="0.195***"
="",="",="",="",="(7.06)"

="_cons",="45.91***",="45.04***",="46.52***",="45.97***"
="",="(167.76)",="(114.62)",="(90.07)",="(75.23)"

="N",="5470",="5470",="5452",="5410"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"

="",="(1)",="(2)",="(3)",="(4)"
="",="percent",="percent",="percent",="percent"

="_Ismallc_1",="5.838***",="5.655***",="4.786***",="4.625***"
="",="(10.46)",="(10.24)",="(9.34)",="(8.96)"

="_Ismallc_2",="2.369***",="1.934***",="1.583**",="1.411**"
="",="(4.45)",="(3.66)",="(3.21)",="(2.83)"

="schid",="",="0.115***",="0.0346***",="0.0390***"
="",="",="(11.71)",="(3.58)",="(3.97)"

="whasn",="",="",="7.026***",="7.133***"
="",="",="",="(13.76)",="(12.70)"

="girl",="",="",="2.267***",="2.284***"
="",="",="",="(5.47)",="(5.51)"

="frln",="",="",="-10.03***",="-10.09***"
="",="",="",="(-21.85)",="(-21.90)"

="twhite",="",="",="",="-0.495"
="",="",="",="",="(-0.78)"

="tmaster",="",="",="",="-0.579"
="",="",="",="",="(-0.27)"

="totexp",="",="",="",="0.0659**"
="",="",="",="",="(2.76)"

="_cons",="43.82***",="39.31***",="42.33***",="41.86***"
="",="(119.96)",="(74.47)",="(62.89)",="(50.35)"

="N",="6173",="6173",="6022",="6010"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"

="",="(1)",="(2)",="(3)",="(4)"
="",="percent",="percent",="percent",="percent"

="_Ismallc_1",="3.507***",="3.328***",="2.888***",="2.825***"
="",="(6.83)",="(6.56)",="(6.13)",="(5.99)"

="_Ismallc_2",="0.811",="0.578",="0.841",="0.720"
="",="(1.67)",="(1.20)",="(1.88)",="(1.59)"

="schid",="",="0.110***",="0.0269**",="0.0234**"
="",="",="(12.36)",="(3.06)",="(2.63)"

="whasn",="",="",="7.762***",="7.290***"
="",="",="",="(16.97)",="(14.92)"

="girl",="",="",="2.093***",="2.129***"
="",="",="",="(5.58)",="(5.66)"

="frln",="",="",="-7.405***",="-7.386***"
="",="",="",="(-17.64)",="(-17.53)"

="twhite",="",="",="",="1.315*"
="",="",="",="",="(2.55)"

="tmaster",="",="",="",="2.532"
="",="",="",="",="(1.68)"

="totexp",="",="",="",="0.0377"
="",="",="",="",="(1.70)"

="_cons",="45.52***",="41.22***",="42.19***",="41.11***"
="",="(129.94)",="(84.03)",="(67.91)",="(55.41)"

="N",="5649",="5649",="5404",="5370"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"

="",="(1)",="(2)",="(3)",="(4)"
="",="percent",="percent",="percent",="percent"

="_Ismallc_1",="2.579***",="2.443***",="2.016***",="1.986***"
="",="(5.66)",="(5.42)",="(4.72)",="(4.64)"

="_Ismallc_2",="-0.189",="-0.374",="-0.171",="-0.241"
="",="(-0.43)",="(-0.86)",="(-0.41)",="(-0.58)"

="schid",="",="0.0878***",="0.0311***",="0.0311***"
="",="",="(11.30)",="(3.93)",="(3.88)"

="whasn",="",="",="4.830***",="4.421***"
="",="",="",="(11.46)",="(9.38)"

="girl",="",="",="1.596***",="1.562***"
="",="",="",="(4.74)",="(4.64)"

="frln",="",="",="-6.806***",="-6.794***"
="",="",="",="(-18.17)",="(-18.08)"

="twhite",="",="",="",="1.144*"
="",="",="",="",="(2.34)"

="tmaster",="",="",="",="1.557"
="",="",="",="",="(1.16)"

="totexp",="",="",="",="0.0443*"
="",="",="",="",="(2.21)"

="_cons",="40.86***",="37.37***",="39.05***",="37.80***"
="",="(124.46)",="(83.43)",="(68.24)",="(52.49)"

="N",="5638",="5638",="5468",="5455"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
