
="",="(1)",="(2)",="(3)",="(4)"
="",="ctype",="ctype",="ctype",="ctype"

="initc",="0.736***",="0.737***",="0.740***",="0.739***"
="",="(134.50)",="(134.75)",="(134.41)",="(133.95)"

="schid",="",="0.00113***",="0.000893***",="0.000968***"
="",="",="(5.92)",="(4.34)",="(4.68)"

="whasn",="",="",="0.0295**",="0.0236"
="",="",="",="(2.58)",="(1.89)"

="girl",="",="",="-0.00443",="-0.00423"
="",="",="",="(-0.50)",="(-0.47)"

="frln",="",="",="0.0284**",="0.0283**"
="",="",="",="(2.86)",="(2.84)"

="twhite",="",="",="",="-0.000874"
="",="",="",="",="(-0.06)"

="tmaster",="",="",="",="0.0696***"
="",="",="",="",="(5.33)"

="totexp",="",="",="",="0.00328***"
="",="",="",="",="(5.77)"

="_cons",="0.493***",="0.444***",="0.415***",="0.373***"
="",="(41.06)",="(30.53)",="(23.18)",="(18.10)"

="N",="16491",="16491",="16104",="16026"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
